"Component","baseline","scn_covariate","ar1","ar1_nugget","ta","tps"
"block","131445.2 (79922.2)","126394.7 (77637.2)","87074.3 (72102.3)","39099.7 (61291.3)","27398.3 (51648.3)","0.09 (NA)"
"wp","65091.5 (25301.4)","61904.6 (25535.9)","0.02 (NA)","3488.4 (20571.3)","5565.7 (22269.4)","38446.0 (19892.2)"
"units!R","53081.9 (12690.6)",NA,NA,NA,NA,NA
"row_f:col_f!R",NA,"55973.8 (13684.5)","148378.9 (46584.3)","171660.0 (100832.9)","121307.2 (75635.8)","55443.1 (13382.0)"
"row_f:col_f!row_f!cor",NA,NA,"0.57 (0.13)","0.86 (0.12)","0.80 (0.18)",NA
"units!units",NA,NA,NA,"37757.8 (18991.3)","37761.2 (21763.1)",NA
"grp(TP.R.1_fcol)",NA,NA,NA,NA,NA,"4807506.9 (NA)"
"grp(TP.R.2_fcol)",NA,NA,NA,NA,NA,"0.00 (NA)"
"grp(TP.C.1_frow)",NA,NA,NA,NA,NA,"9575.6 (11982.4)"
"grp(TP.C.2_frow)",NA,NA,NA,NA,NA,"0.00 (NA)"
"grp(TP_fcol_frow)",NA,NA,NA,NA,NA,"0.00 (NA)"
